user_language,q11_1,q11_2,q11_3,q11_4,q12,q13_1_1,q13_2_1,q13_3_1,q13_4_1,q13_5_1,q13_6_1,q13_7_1,q13_8_1,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q66,q10_1,q10_2,q10_3,q18,q19,q20,q67,q68_1,q68_2,q70,q93,q69,q71,q73,q22,q23,q74_1,q74_2,q76_1,q76_2,q80_1,q80_2,q80_3,q80_4,q81_1,q81_2,q81_3,q81_4,list_experiment,q26,q27_1,q27_2,q27_3,q97_1,q97_2,q92,q94,q108,q105,border_outcome,traits1a,traits1b,traits2a,traits2b,traits3a,traits3b,traits4a,traits4b,fl_15_do,sample,q3,q8,q8_15_text,q5,q9,q9_24_text,q126,q129,traits5a,traits5b,traits6a,traits6b,border_gamble,border_treat,border_loss,border_ethnic,border_resource
AMH,A few times a week,A few times a month,Never,Every day,Never,0,0,0,0,0,0,0,0,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,5,10,10,የለም,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree with B,Agree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree with A,I agree with A,Never,Never,Strongly like,Would not care,Very frequently,Rarely,Never,Never,Some,Some,Not at all,Not at all,3,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,Yes,Government B,Government B,Plan B,Plan B,Option 1,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography",No|Yes|Yes|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,"No|No|No|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",No|No|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,No|Yes|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain-resource,0,FALSE,TRUE
EN,A few times a week,Every day,Less than once a month,Every day,Never,0,0,3,2,0,0,0,0,Sometimes,Sometimes,Sometimes,Often,Often,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,5,9,9,NA,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree with B,NA,NA,Strongly like,Strongly like,Very frequently,Very frequently,Never,Never,A lot,A lot,A lot,A lot,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,Yes,Government B,Government B,Plan A,Plan A,Option 1,"Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography",Yes|No|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,"No|Yes|No|No|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major ethnic groups","Yes|Yes|No|Yes|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",No|No|No|No|No|Yes|None|Appointed by a panel of leaders from all major political parties,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain-coethnic,0,TRUE,FALSE
EN,A few times a month,Every day,Never,Every day,Never,5,0,0,2,0,0,0,1,Always,Sometimes,Sometimes,Never,Often,Active member,Not a member,Not a member,Not a member,NA,Very likely,Not at all,Somewhat likely,6,5,5,"I was invilved in giving summer tutorials for high school students volunteerly
",3,2,1,Strongly disagree,I agree with B,I agree with A,I agree with B,Disagree,Disagree,NA,Never,A lot,A lot,I agree with A,I agree with A,I agree with B,Frequently,Frequently,Strongly dislike,Somewhat dislike,Very frequently,Very frequently,Sometimes,Sometimes,Some,Some,Some,Some,4,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,Yes,Government B,Government B,Plan A,Plan A,Option 1,"Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|No|No|Yes|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission",No|Yes|Yes|No|No|Yes|None|Appointed by Dialogue Commission,"Yes|No|Yes|Yes|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups","Yes|No|Yes|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-coethnic,1,TRUE,FALSE
EN,Less than once a month,A few times a month,A few times a month,Every day,Never,0,0,0,0,0,1,0,0,Sometimes,Sometimes,Often,Sometimes,Often,Active member,Not a member,Not a member,Not a member,NA,Somewhat likely,Not likely,Very likely,3,10,9,NA,1,2,3,Somewhat disagree,I agree with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree with B,I agree with B,NA,NA,Strongly like,Would not care,Very frequently,Sometimes,Rarely,Rarely,A lot,A lot,A lot,A lot,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",No,Yes,Government A,Government A,Plan B,Plan B,Option 1,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|No|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,"No|No|No|Yes|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major political parties","Yes|No|Yes|Yes|Yes, African Union|No|None|Appointed by a panel of leaders from all major political parties",No|Yes|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain-resource,0,FALSE,TRUE
EN,Never,Every day,Every day,Every day,Never,2,0,0,1,0,0,0,0,Always,Sometimes,Never,Never,Often,Active member,Not a member,Not a member,Not a member,NA,Not at all,Not at all,Very likely,9,9,10,I have been trying to take calls from an online platform called 'Be my eyes' to help and instruct blind people who need help at the moment,1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree with A,I agree strongly with A,I agree strongly with B,NA,NA,Would not care,Would not care,Very frequently,Very frequently,Sometimes,Very frequently,Just a little,Just a little,Just a little,Just a little,3,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,Yes,Government B,Government B,Plan B,Plan B,Option 2,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","No|No|No|Yes|Yes, United Nations|Yes|None|Appointed by Dialogue Commission",Yes|Yes|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,No|Yes|Yes|Yes|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,"No|No|No|Yes|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-coethnic,1,TRUE,FALSE
EN,A few times a month,Every day,Less than once a month,Every day,Less than once a month,1,0,1,2,4,0,0,0,Sometimes,NA,Often,Sometimes,Often,Active member,Active member,Inactive member,Active member,NA,NA,NA,NA,1,9,7,I have been participating in volunteering group,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree with A,Disagree,Disagree,Never,Never,A lot,Always,I agree strongly with A,I agree strongly with A,I agree with B,Always,NA,Would not care,Would not care,Very frequently,Very frequently,Very frequently,NA,Some,Some,Some,Some,2,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",No,Yes,Government B,Government B,Plan B,Plan A,Option 1,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography",Yes|Yes|No|No|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,"No|Yes|Yes|Yes|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",Yes|No|No|No|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,"Yes|No|No|No|Yes, United Nations|Yes|None|Appointed by Dialogue Commission",FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss,1,FALSE,FALSE
EN,Never,Never,Never,A few times a month,Never,0,0,0,1,0,1,0,2,Sometimes,Often,Always,Sometimes,Often,Not a member,Not a member,Not a member,Inactive member,Not at all,Not at all,Not at all,NA,0,10,5,"I haven't participated in any civic or political activities since June 20, 2022, nor do I plan to.",1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree with A,I agree strongly with B,NA,NA,Would not care,Would not care,Very frequently,Very frequently,Never,Never,A lot,A lot,A lot,A lot,0,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,No,Government A,Government A,Plan B,Plan B,Option 1,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","No|Yes|Yes|No|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties",No|No|Yes|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission,No|No|No|No|No|No|None|Appointed by a panel of leaders from all major political parties,No|Yes|Yes|Yes|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss,1,FALSE,FALSE
EN,A few times a week,Every day,A few times a week,Every day,Never,3,1,2,0,1,2,1,1,Sometimes,Never,Often,Sometimes,Often,Active member,Inactive member,Not a member,Active member,NA,NA,Somewhat likely,NA,2,10,10,I han been having good time within society in my break time that I have participated through different events.,2,1,3,Strongly disagree,I agree with B,I agree with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree with B,Frequently,NA,Would not care,Somewhat dislike,Very frequently,Sometimes,Sometimes,Very frequently,Some,Some,Some,Some,3,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",No,No,Government A,Government B,NA,Plan B,Option 2,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Yes|No|Yes|Yes|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups","Yes|No|Yes|Yes|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",Yes|Yes|No|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission,"No|Yes|Yes|Yes|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss,1,FALSE,FALSE
EN,A few times a week,Every day,A few times a week,Every day,Never,1,0,2,2,0,1,1,3,Often,Sometimes,Sometimes,Sometimes,Often,Inactive member,Not a member,Not a member,Active member,NA,Not likely,Not likely,NA,5,10,8,NA,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree with B,Disagree,Disagree,Never,Never,Not at all,Not at all,I agree with A,I agree with A,I agree with B,NA,NA,Somewhat dislike,Would not care,Sometimes,Rarely,Rarely,Sometimes,Some,Some,Some,Just a little,1,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,Yes,Government B,Government B,Plan A,Plan B,Option 1,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|Yes|No|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,Yes|No|Yes|Yes|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,"No|No|No|Yes|Yes, United Nations|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups","Yes|No|Yes|Yes|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-resource,1,FALSE,TRUE
EN,Never,Less than once a month,Never,A few times a month,Never,0,0,1,4,0,1,0,0,Never,Never,Never,Always,Often,Inactive member,Not a member,Not a member,Not a member,NA,Not at all,Not at all,Somewhat likely,2,0,0,I’ve never participated in any civil or political situation mainly because i have no interest in it and i know the government in Ethiopia gives no real solution to this kind of activities specially for students,1,2,3,Strongly disagree,I agree strongly with B,I agree with B,I agree with A,Disagree,Disagree,NA,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree with B,Never,Never,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,Some,Some,Some,Some,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",Yes,Yes,Government B,Government A,Plan B,Plan A,Option 1,"Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|No|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission,No|No|No|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,"Yes|No|No|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",Yes|Yes|Yes|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain-coethnic,0,TRUE,FALSE
EN,Never,A few times a month,A few times a month,A few times a week,Never,3,0,1,2,0,0,0,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Inactive member,Not a member,Not a member,Inactive member,NA,NA,NA,NA,4,10,10,I participated in the way of helping elders and a lerson who lose their ability either their abilty to see or ability to hear.,1,2,3,Strongly disagree,I agree with B,I agree strongly with B,I agree strongly with B,Disagree,Disagree,Never,Never,Always,Always,I agree with A,I agree strongly with A,I agree strongly with B,NA,NA,Strongly like,Strongly like,Very frequently,Very frequently,Very frequently,Very frequently,Some,Some,Some,Some,3,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",Yes,Yes,Government B,Government B,Plan A,Plan A,Option 1,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Yes|No|Yes|Yes|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties",No|No|Yes|No|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,"Yes|Yes|Yes|No|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties",Yes|No|Yes|Yes|No|Yes|None|Appointed by Dialogue Commission,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain-resource,0,FALSE,TRUE
