user_language,q2,q3,q4,q5,q6,q8,q9,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q18,q19,q20,q21,q22,q23,q24,q25_1,q25_2,q25_3,q26,q27_1,q27_2,q27_3,q28,q29,q30,q31,q38,q45_1,fl_15_do,tolerant_engagement_forums_invitation_do,federalism_do
EN,Yes,Female,Yes,Rural,No,Other,Other,1,NA,NA,A few times a month,A few times a week,Every day,Every day,Never,More than 5 times,Never,Never,Once or Twice,More than twice,More than twice,Never,More than 5 times,Never,Never,Never,Never,Not a member,Not a member,Not a member,Active member,Yes,No,No,NA,1,2,1,Somewhat disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree with B,Disagree,Strongly like,Somewhat like,Somewhat dislike,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region",Other,NA,12,Very interested,5,FL_17,Q35,Q40|Q43|Q45
EN,Yes,Male,No,Urban,Yes,Oromia Region,Oromo,2,3,1,A few times a month,Less than once a month,A few times a week,Every day,Never,Never,Never,Never,Once or Twice,Never,Never,Never,Once or Twice,Never,More than twice,More than twice,More than 10 times,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,No,No,No,Yes,3,8,7,Somewhat disagree,I agree with B,I agree with A,I agree strongly with B,I agree with A,I agree with neither,Neither agree nor disagree,Strongly like,Strongly dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,5,Very interested,7,FL_18,Q37,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Amhara Region,Amhara,1,2,3,Every day,Less than once a month,Never,Every day,Never,Once or Twice,Never,More than twice,Never,Never,Once or Twice,Once or Twice,More than 10 times,More than 5 times,More than 5 times,More than 5 times,More than 10 times,Not a member,Not a member,Not a member,Active member,No,No,No,NA,10,10,10,Somewhat disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree with B,Agree,Somewhat like,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",40,Very interested,5,FL_18,Q36,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Sidama Region,Other,1,NA,3,Never,Less than once a month,Never,A few times a week,Never,Once or Twice,Never,Never,More than twice,Never,Never,Never,Once or Twice,Once or Twice,Once or Twice,Once or Twice,Once or Twice,Inactive member,Not a member,Not a member,Not a member,NA,No,No,Yes,2,8,5,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,4,Very interested,7,FL_18,Q37,Q40|Q44|Q45
EN,Yes,Male,Yes,Rural,No,Amhara Region,Amhara,1,2,3,A few times a week,A few times a week,Every day,Every day,A few times a week,More than 10 times,Never,More than twice,Never,Once or Twice,More than twice,Never,More than 10 times,Never,Once or Twice,Never,Once or Twice,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,3,5,5,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree with A,I agree strongly with B,Disagree,Somewhat like,Neither like nor dislike,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,Other educational opportunities,4,Very interested,10,FL_17,Q34,Q40|Q42|Q45
EN,Yes,Male,No,Rural,Yes,"Southern Nations, Nationalities, and Peoples Region",Prefer not to say,1,2,3,A few times a week,A few times a month,Less than once a month,Every day,A few times a month,Once or Twice,Never,More than 5 times,More than twice,Never,Once or Twice,Once or Twice,Once or Twice,Never,Never,Once or Twice,Never,Active member,Active member,Not a member,Inactive member,NA,NA,No,NA,2,7,10,Strongly disagree,I agree with B,I agree strongly with B,I agree with B,I agree with B,I agree with neither,Strongly disagree,Strongly like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Other educational opportunities,8,Very interested,5,FL_18,Q35,Q40|Q44|Q45
EN,Yes,Male,Yes,Rural,Yes,"Southern Nations, Nationalities, and Peoples Region",Guragie,2,NA,1,Less than once a month,A few times a month,Every day,Every day,Less than once a month,Once or Twice,Once or Twice,More than twice,Once or Twice,More than twice,Once or Twice,More than twice,More than 5 times,More than twice,More than 5 times,More than twice,More than 5 times,Active member,Inactive member,Not a member,Inactive member,NA,NA,No,NA,5,1,4,Strongly disagree,I agree with A,I agree strongly with A,I agree with B,I agree with A,I agree with neither,Strongly disagree,Somewhat dislike,Neither like nor dislike,Somewhat like,Politics (pursuing elected office or working for a campaign or political party),"Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it","Yes, I plan to move to another region",Job opportunities,NA,6,Very interested,7,FL_18,Q37,Q40|Q43|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Prefer not to say,1,NA,3,A few times a week,A few times a week,Every day,Every day,Never,Once or Twice,Never,More than 10 times,More than 10 times,Never,Never,Never,Once or Twice,Never,Never,More than twice,More than twice,Inactive member,Not a member,Not a member,Active member,NA,No,No,NA,6,5,7,Strongly disagree,I agree with B,I agree strongly with A,I agree with B,I agree strongly with A,I agree strongly with B,Neither agree nor disagree,Neither like nor dislike,Somewhat like,Somewhat like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region",Other educational opportunities,NA,10,Very interested,7,FL_17,Q34,Q40|Q42|Q45
EN,Yes,Male,Yes,Rural,Yes,Amhara Region,Amhara,1,3,2,Every day,A few times a month,A few times a week,A few times a week,A few times a month,More than 10 times,Never,More than twice,More than twice,Never,Once or Twice,Never,More than 5 times,Never,More than twice,Never,Once or Twice,Prefer not to say,Prefer not to say,Inactive member,Active member,No,No,NA,NA,1,0,0,Strongly disagree,I agree with A,I agree with A,I agree with B,I agree with A,I agree with B,Disagree,Strongly like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,50,Very interested,9,FL_18,Q36,Q40|Q43|Q45
EN,Yes,Male,No,Urban,Yes,Amhara Region,Amhara,1,2,3,Less than once a month,Every day,Less than once a month,A few times a week,Never,More than 10 times,Once or Twice,Never,Once or Twice,Once or Twice,Once or Twice,Never,Once or Twice,Never,Once or Twice,More than 5 times,Once or Twice,Active member,Not a member,Not a member,Not a member,NA,No,No,Yes,2,9,8,Strongly disagree,I agree strongly with B,I agree with A,I agree with B,I agree with A,I agree strongly with B,Neither agree nor disagree,Strongly like,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other educational opportunities,10,Very interested,7,FL_17,Q34,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Oromia Region,Oromo,1,3,2,Never,A few times a month,A few times a week,Every day,Never,Never,Never,Never,Never,Never,Once or Twice,Never,Never,Never,Never,More than 10 times,More than 10 times,Inactive member,Not a member,Not a member,Not a member,NA,No,No,Yes,1,5,5,Strongly disagree,I agree with neither,I agree with neither,I agree strongly with B,I agree with neither,I agree strongly with A,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,15,Somewhat interested,8,FL_17,Q35,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Prefer not to say,1,2,3,Less than once a month,A few times a week,Every day,Every day,Never,Once or Twice,Never,Never,More than twice,Never,Once or Twice,Never,Never,Never,Never,More than 5 times,More than 5 times,Inactive member,Not a member,Not a member,Not a member,NA,No,No,Yes,3,7,6,Somewhat disagree,I agree with B,I agree with A,I agree with B,I agree strongly with A,I agree with B,Strongly disagree,Neither like nor dislike,Somewhat like,Neither like nor dislike,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,12,Somewhat interested,8,FL_17,Q35,Q40|Q42|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Silte,1,2,3,Less than once a month,Every day,Every day,Every day,Never,More than twice,Once or Twice,Once or Twice,More than twice,More than twice,Never,Never,More than 5 times,More than twice,More than 5 times,More than 5 times,More than 10 times,Active member,Not a member,Not a member,Inactive member,NA,No,No,NA,3,10,10,Neither agree nor disagree,I agree strongly with B,I agree strongly with A,I agree strongly with A,I agree with A,I agree strongly with B,Strongly disagree,Strongly like,Somewhat like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,7,Very interested,4,FL_17,Q35,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,No,Oromia Region,"Guragie,Oromo",1,2,3,A few times a week,A few times a week,A few times a week,A few times a week,Never,Never,Never,Never,Once or Twice,Once or Twice,Once or Twice,Never,Never,More than twice,More than twice,Never,Once or Twice,Not a member,Not a member,Not a member,Active member,No,No,No,NA,3,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Disagree,Somewhat like,Somewhat like,Neither like nor dislike,"Public sector or civil service (ex. public university, government ministry)","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Proximity to family,5,Somewhat uninterested,6,FL_18,Q34,Q40|Q44|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Tigre,NA,NA,NA,Never,Less than once a month,Never,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Inactive member,Not a member,Not a member,Not a member,NA,No,No,No,3,0,0,Strongly disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree with neither,I agree with A,Neither agree nor disagree,Somewhat like,Somewhat like,Somewhat like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,6,Somewhat interested,5,FL_18,Q34,Q40|Q43|Q45
EN,Yes,Male,Yes,Rural,Yes,Oromia Region,Oromo,1,NA,NA,Every day,A few times a week,Less than once a month,A few times a month,Never,Once or Twice,Once or Twice,Never,Once or Twice,Never,Once or Twice,Once or Twice,Once or Twice,Never,Never,Never,Never,Prefer not to say,Active member,Prefer not to say,Prefer not to say,No,NA,No,Yes,6,10,10,Strongly disagree,I agree strongly with A,I agree with B,I agree with B,I agree strongly with A,I agree with B,Disagree,Strongly like,Strongly like,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",2,Very interested,5,FL_17,Q34,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Oromia Region,Oromo,1,3,2,Less than once a month,A few times a week,Never,Every day,Never,Once or Twice,Never,Never,Once or Twice,Never,Never,Never,Once or Twice,Never,Never,More than twice,More than twice,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,0,5,8,Somewhat disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree with B,I agree with A,Neither agree nor disagree,Somewhat like,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Other",20,Somewhat interested,7,FL_17,Q37,Q40|Q42|Q45
EN,Yes,Male,No,Urban,Yes,Amhara Region,Amhara,3,NA,NA,Less than once a month,Never,A few times a week,Never,Never,Once or Twice,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or Twice,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,No,3,10,10,Neither agree nor disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree strongly with A,I agree strongly with B,Disagree,Strongly like,Somewhat like,Strongly like,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,20,Very interested,8,FL_18,Q35,Q40|Q41|Q45
EN,Yes,Female,No,Urban,Yes,Prefer not to say,Other,1,2,3,A few times a month,Never,Never,Every day,Never,Never,Never,Once or Twice,Never,Never,Never,Never,Never,Never,More than 10 times,More than 10 times,More than 10 times,Prefer not to say,Not a member,Not a member,Inactive member,Yes,No,No,NA,1,2,1,Somewhat agree,I agree with neither,I agree with neither,I agree strongly with B,I agree strongly with B,I agree strongly with B,Agree,Neither like nor dislike,Somewhat dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,10,Somewhat interested,8,FL_18,Q36,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Other,1,2,NA,A few times a week,Less than once a month,Never,A few times a week,Never,Never,Once or Twice,More than 10 times,Never,Never,Once or Twice,Never,Never,Never,Never,Once or Twice,Once or Twice,Not a member,Not a member,Not a member,Inactive member,Yes,No,No,NA,2,7,8,Strongly disagree,I agree with B,I agree with neither,I agree with B,I agree with B,I agree with B,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,15,Very interested,8,FL_17,Q34,Q40|Q43|Q45
EN,Yes,Male,Yes,Urban,Yes,Addis Ababa,Tigre,2,1,3,A few times a month,Less than once a month,Less than once a month,A few times a week,Never,Never,Never,Never,Once or Twice,Once or Twice,More than twice,More than twice,More than 5 times,Never,Never,Never,More than 5 times,Active member,Active member,Not a member,Active member,NA,NA,No,NA,1,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with A,I agree strongly with A,I agree with B,Strongly agree,Somewhat like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,10,Very interested,5,FL_18,Q37,Q40|Q41|Q45
AMH,Yes,Male,No,Rural,Yes,"Southern Nations, Nationalities, and Peoples Region","Gamo,Welayta",1,3,2,A few times a week,Never,Every day,Every day,Never,More than 5 times,Never,More than twice,Never,Never,Never,Never,More than 5 times,More than twice,More than twice,More than twice,More than twice,Active member,Not a member,Not a member,Inactive member,NA,Yes,No,NA,2,9,10,Strongly disagree,I agree with B,I agree with B,I agree with B,I agree with A,I agree with A,Agree,Strongly like,Somewhat like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","Yes, I plan to move to another region",Other educational opportunities,NA,15,Somewhat interested,5,FL_17,Q36,Q40|Q42|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Other,NA,3,1,A few times a week,Every day,A few times a month,Every day,Never,Never,Once or Twice,Never,Once or Twice,Never,Never,Never,More than 10 times,More than twice,More than twice,More than 5 times,More than 5 times,Active member,Active member,Official leader,Inactive member,NA,NA,NA,NA,6,5,8,Strongly disagree,I agree strongly with B,I agree with B,I agree strongly with B,I agree strongly with A,I agree with B,Neither agree nor disagree,Somewhat like,Somewhat like,Neither like nor dislike,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Proximity to family",15,Very interested,10,FL_18,Q34,Q40|Q44|Q45
EN,Yes,Male,Yes,Urban,Yes,Addis Ababa,"Amhara,Oromo",1,2,3,Every day,A few times a week,Less than once a month,Never,Never,Once or Twice,Never,Once or Twice,Once or Twice,Never,Never,Never,More than twice,More than twice,More than twice,More than twice,More than twice,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,3,5,5,Strongly disagree,I agree with B,I agree with neither,I agree with neither,I agree strongly with A,I agree strongly with B,Disagree,Strongly like,Neither like nor dislike,Strongly like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,7,Somewhat interested,7,FL_18,Q37,Q40|Q43|Q45
EN,Yes,Male,No,Rural,Yes,Oromia Region,Oromo,3,2,1,A few times a month,A few times a week,Never,Every day,Never,Never,Once or Twice,Never,Once or Twice,Never,Never,Never,More than 10 times,Never,Never,More than twice,More than twice,Inactive member,Inactive member,Not a member,Not a member,NA,NA,No,Yes,0,10,5,Strongly disagree,I agree with B,I agree with B,I agree with B,I agree with A,I agree with A,Disagree,Somewhat like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"Yes, it has crossed my mind","No, I have not thought about it","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",15,Very interested,4,FL_17,Q34,Q40|Q44|Q45
EN,Yes,Male,Yes,Rural,No,Amhara Region,Amhara,1,2,3,A few times a week,A few times a month,Every day,Every day,Never,Once or Twice,Never,Never,Never,Once or Twice,More than 5 times,Never,More than 10 times,Never,Never,Once or Twice,More than 5 times,Active member,Not a member,Not a member,Not a member,NA,No,Yes,Yes,0,10,10,Strongly disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree strongly with A,I agree with neither,Agree,Strongly like,Strongly like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","Yes, it has crossed my mind","No, I have not thought about it","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,10,Very interested,10,FL_18,Q35,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,Yes,"Southern Nations, Nationalities, and Peoples Region",Silte,1,2,3,A few times a month,A few times a month,A few times a month,Every day,Never,Once or Twice,Once or Twice,Never,Never,Never,Never,Never,More than 10 times,Never,Never,Never,More than 10 times,Not a member,Not a member,Not a member,Active member,No,Yes,No,NA,3,8,3,Somewhat disagree,I agree with B,I agree strongly with B,I agree with B,I agree with A,I agree with A,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,4,Somewhat interested,8,FL_18,Q34,Q40|Q41|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,"Amhara,Guragie",1,2,3,Never,A few times a month,A few times a month,Every day,Never,Never,Never,Never,Once or Twice,Never,Never,Never,Never,Never,Never,More than 10 times,Once or Twice,Inactive member,Not a member,Not a member,Not a member,NA,No,No,No,2,4,0,Neither agree nor disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree with neither,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,10,Somewhat interested,5,FL_18,Q37,Q40|Q42|Q45
AMH,Yes,Female,No,Rural,Yes,Amhara Region,Amhara,1,2,3,Never,A few times a month,Never,A few times a week,Never,Once or Twice,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or Twice,Never,Prefer not to say,Not a member,Not a member,Not a member,Yes,No,No,No,7,8,9,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with neither,I agree strongly with A,I agree with B,Strongly disagree,Somewhat like,Neither like nor dislike,Strongly like,I don't know yet,"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,20,Very interested,5,FL_17,Q36,Q40|Q41|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Prefer not to say,1,2,NA,Never,A few times a month,Less than once a month,A few times a week,Never,Never,Never,Once or Twice,More than 5 times,Never,Never,Never,Never,Never,Never,Never,Once or Twice,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,3,2,2,Neither agree nor disagree,I agree with B,I agree with neither,I agree with B,I agree with neither,I agree with neither,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",5,Somewhat interested,5,FL_17,Q37,Q40|Q44|Q45
EN,Yes,Male,Yes,Urban,Yes,Addis Ababa,Prefer not to say,1,2,3,Every day,A few times a month,Never,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Once or Twice,Never,More than 10 times,More than 10 times,Once or Twice,Not a member,Not a member,Not a member,Not a member,Yes,No,No,Yes,3,6,8,Strongly disagree,I agree strongly with B,I agree with B,I agree strongly with B,I agree with neither,I agree strongly with B,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",10,Somewhat uninterested,10,FL_17,Q36,Q40|Q43|Q45
EN,Yes,Female,No,Urban,Yes,Prefer not to say,"Prefer not to say,Other",1,2,3,Less than once a month,A few times a week,A few times a month,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than 10 times,More than 10 times,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,4,10,5,Strongly disagree,I agree with B,I agree with A,I agree with A,I agree with A,I agree with neither,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Strongly like,I don't know yet,"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,10,Somewhat interested,5,FL_18,Q35,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Hadiya,1,2,3,A few times a week,A few times a week,Less than once a month,A few times a week,Less than once a month,Never,Never,Once or Twice,Once or Twice,Never,More than twice,Never,Never,Once or Twice,More than twice,Once or Twice,Once or Twice,Inactive member,Not a member,Not a member,Inactive member,NA,No,Yes,NA,3,7,8,Strongly disagree,I agree strongly with B,I agree with neither,I agree strongly with B,I agree with neither,I agree with B,Disagree,Neither like nor dislike,Somewhat like,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move to another region","Job opportunities,Other educational opportunities",NA,3,Somewhat interested,7,FL_17,Q34,Q40|Q43|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Guragie,3,NA,1,A few times a week,A few times a week,Never,Every day,Never,More than twice,Never,More than twice,More than 5 times,More than twice,Once or Twice,Never,Once or Twice,More than twice,More than 5 times,More than twice,More than 5 times,Active member,Not a member,Not a member,Inactive member,NA,No,No,NA,3,8,6,Strongly disagree,I agree with B,I agree with A,I agree with A,I agree with A,I agree with A,Neither agree nor disagree,Somewhat like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",10,Very interested,5,FL_17,Q36,Q40|Q42|Q45
EN,Yes,Female,Yes,Urban,Yes,Addis Ababa,Amhara,1,3,2,Every day,A few times a week,Less than once a month,Every day,Never,Never,Never,Never,More than twice,Never,Never,Never,Never,Once or Twice,Once or Twice,Never,More than 10 times,Not a member,Not a member,Not a member,Inactive member,No,No,No,NA,0,4,5,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with B,I agree with A,I agree with A,Agree,Somewhat like,Neither like nor dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,10,Very interested,7,FL_18,Q36,Q40|Q43|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Oromo,1,NA,NA,Never,Every day,Never,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Active member,Prefer not to say,Not a member,Active member,NA,Yes,No,NA,5,10,10,Strongly disagree,I agree with B,I agree with B,I agree with B,I agree with A,I agree with neither,Agree,Somewhat like,Neither like nor dislike,Strongly like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Proximity to family,4,Very interested,0,FL_17,Q34,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Amhara,1,2,3,A few times a week,A few times a week,Never,A few times a week,Never,Never,Never,Never,Once or Twice,Never,Never,Never,Never,Never,More than 10 times,Never,More than 10 times,Not a member,Not a member,Not a member,Not a member,No,No,No,No,0,0,0,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,I agree strongly with A,I agree strongly with B,Neither agree nor disagree,Strongly like,Neither like nor dislike,Somewhat dislike,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",6,Somewhat uninterested,3,FL_18,Q35,Q40|Q44|Q45
EN,Yes,Male,Yes,Rural,Yes,Oromia Region,Oromo,1,2,3,Every day,A few times a week,A few times a week,Every day,Never,More than twice,Never,More than 5 times,Once or Twice,Never,Never,Once or Twice,More than twice,Never,Once or Twice,Never,Never,Not a member,Not a member,Not a member,Inactive member,No,No,No,NA,1,10,10,Strongly disagree,I agree with B,I agree strongly with A,I agree with A,I agree with A,I agree with B,Agree,Strongly like,Strongly like,Strongly like,Civil society (private not-for-profit organizations),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,8,Very interested,10,FL_18,Q34,Q40|Q41|Q45
EN,Yes,Male,Yes,Rural,Yes,Amhara Region,Amhara,2,1,3,A few times a week,A few times a week,A few times a week,Every day,A few times a week,More than twice,More than 10 times,Never,More than 10 times,Once or Twice,Once or Twice,Never,More than 5 times,Once or Twice,More than twice,Once or Twice,Once or Twice,Inactive member,Inactive member,Not a member,Not a member,NA,NA,Yes,Yes,5,9,4,Somewhat disagree,I agree with B,I agree with A,I agree strongly with B,I agree with A,I agree with A,Strongly agree,Somewhat like,Somewhat dislike,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Other educational opportunities,20,Somewhat interested,8,FL_17,Q35,Q40|Q44|Q45
EN,Yes,Male,Yes,Rural,No,Amhara Region,Amhara,1,3,2,Never,Less than once a month,A few times a month,A few times a week,Less than once a month,More than twice,Once or Twice,Never,Never,More than 5 times,More than 5 times,Once or Twice,More than 5 times,More than 5 times,More than 5 times,Once or Twice,Once or Twice,Inactive member,Active member,Not a member,Active member,NA,NA,No,NA,2,9,9,Somewhat agree,I agree with A,I agree with A,I agree with B,I agree with A,I agree with A,Agree,Somewhat like,Strongly dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,4,Very interested,6,FL_17,Q34,Q40|Q42|Q45
